,COUNTY,R2SCOREBEFORE,R2SCOREAFTER
0,Snohomish,7458.774466829517,245947110546.0346
1,Maricopa,3138.991748478772,4788270703528.69
2,Los Angeles,42.9280203990045,11622636942632.436
3,Santa Clara,309.6788839767889,806402433549.8113
4,San Francisco,12.670943599805446,39402225738.20966
5,Dane,14.401702373564273,19474167753.5296
6,San Diego,86.27146365340649,327227792990.28937
7,Bexar,729.0069529236888,460109036113.02594
8,Sacramento,8.592265001680943,22282754878.486176
9,Solano,60.07176681272449,725147892.2639747
10,Spokane,3.743427528652591,5767923.837728189
11,Salt Lake,6768665.113651387,6768665.113651387
12,Marin,5.691204031174105,10616.397186653388
13,Napa,0.00519187337139419,1834.1091150623408
14,Sonoma,1.0825206714934412,4356.98484003727
15,Manatee,23.816056285174053,5095150522.7544985
16,Norfolk,152.02021460820134,55416804973.933876
17,Grafton,2.467346055142709,37431051.89595896
18,Walla Walla,0.005191767078156767,2311.0586981348533
19,Wake,170.05228962962696,132355191255.79893
20,Fort Bend,547.9641227022224,78180514337.87149
21,Santa Rosa,13.062614093920931,345643386.3684499
22,Washoe,207.11548147536345,25794325602.43814
23,Pinal,7.941565060776746,3668894965.0025992
24,Broward,102209.88356212902,1305256964188.4995
25,Tulsa,329934.7980338548,329934.7980338548
26,Charleston,194967.32617950308,194967.32617950308
27,Kershaw,50115.355191886076,50115.355191886076
28,Okaloosa,23.6968493397605,718053881.1754862
29,Volusia,68.32775812543503,16059955637.560024
30,Cobb,3779.012713477776,127232055950.77779
31,Gwinnett,857.9977236877927,153495283964.20837
32,Fairfax,77.41431348852794,164684319257.95673
33,Harford,7.5070180144699155,2511079.5738350777
34,Spartanburg,76932.94833122261,76932.94833122261
35,Pima,26.356380908993636,126122193386.26039
36,Pottawattamie,1045.6211081454192,1045.6211081454192
37,Prince George's,30.946974854094186,136402014205.19783
38,Collin,850.8831125535547,142112924694.3566
39,Alachua,416.6172832011225,7595942745.7438135
40,Collier,623.743911780243,23214961759.653484
41,Pasco,16.74279508025652,2592233198.7390676
42,Pinellas,364.4877727883348,142008703686.4206
43,Charlton,0.005191094414757199,54.7520775203877
44,Philadelphia,9814.118597157883,832730294716.4066
45,Beadle,250.4258989654959,250.4258989654959
46,Charles Mix,4.876514370956211,4.876514370956211
47,Davison,10.044327699251605,10.044327699251605
48,Minnehaha,4449602.636698205,4449602.636698205
49,Tarrant,619.2810639327624,528489273170.81323
50,Weber,18739.2052181276,18739.2052181276
51,Miami-Dade,173400.86920763698,2752336150387.394
52,St. Johns,66.19582066500803,5652026801.915995
53,Bartow,1950.1704797327686,2715512837.428282
54,Caddo,584348.1101692155,462617092.3594165
55,Forrest,13.879185096752977,27139935.345391713
56,Bucks,655.1334561104111,84702828207.05872
57,Bon Homme,3.801930545473332,3.801930545473332
58,Gregg,1.0747332196255022,2696.6206045504723
59,Palm Beach,7977.435152143519,601661234183.0142
60,Sarasota,71.65190447840077,12917896126.220179
61,Androscoggin,0.6501297466287488,19812.765289863797
62,Tuscaloosa,21.122821799441756,249452490.36934215
63,Gordon,1.9873940445682436,3011554.025225804
64,St. Charles,40.01217512864145,45069313930.07226
65,Copiah,1.09736049170632,5725.831458949927
66,Leflore,9.224661557991727,5990903.512668182
67,Pearl River,13.919738659803079,66994130.89399932
68,Oklahoma,610764.5171554945,610764.5171554945
69,McCook,3.3410905422634523,3.3410905422634523
70,Lexington,144749.6072976708,144749.6072976708
71,Garland,10953.751664034608,10953.751664034608
72,Allamakee,5822.765615896663,5822.765615896663
73,Kay,1605.42959518001,1605.42959518001
74,Payne,1381.5163670226445,1381.5163670226445
75,Greenville,525238.1530452396,525238.1530452396
76,Horry,43117.82661036785,43117.82661036785
77,Utah,1062516.768991876,1062516.768991876
78,Desha,134.68517155512103,134.68517155512103
79,Canadian,7602.986973850893,7602.986973850893
80,Tooele,2967.365388159452,2967.365388159452
81,Wasatch,19825.345930813804,19825.345930813804
82,Black Hawk,1402089.1538479284,1402089.1538479284
83,Sarpy,15835.430444409692,15835.430444409692
84,Burleigh,5317.355914432041,5317.355914432041
85,Laramie,17837.119452124367,17837.119452124367
86,Faulkner,4492.978816224335,4492.978816224335
87,Winneshiek,180.4480139438048,180.4480139438048
88,Box Elder,157.3008843279503,157.3008843279503
89,Cache,1271.6974563176227,1271.6974563176227
90,Craighead,4259.889422026366,4259.889422026366
91,Independence,30.20202464292201,30.20202464292201
92,Poinsett,251.55118164223796,251.55118164223796
93,Searcy,12.059199625090873,12.059199625090873
94,Sebastian,74.61848193559885,74.61848193559885
95,Dubuque,11872.150247886402,11872.150247886402
96,Muscatine,120030.90980002303,120030.90980002303
97,McClain,2915.7942438361333,2915.7942438361333
98,Abbeville,600.7982870959725,600.7982870959725
99,Saluda,2213.1745985271095,2213.1745985271095
100,Garvin,89.70677447655024,89.70677447655024
101,Aiken,7786.454275388993,7786.454275388993
102,Clarendon,41217.360985092484,41217.360985092484
103,Darlington,14027.564715344537,14027.564715344537
104,Orangeburg,4645.5760930771185,4645.5760930771185
105,Natrona,1724.8360284436749,1724.8360284436749
106,Story,650.5978419002025,650.5978419002025
107,Ouachita,84415.27617170627,276199707.2248395
108,Dillon,2397.3064826151485,2397.3064826151485
109,Edgefield,521.9590043374435,521.9590043374435
110,Marlboro,1487.9960695248783,1487.9960695248783
111,Newberry,441.0526202133178,441.0526202133178
112,Cerro Gordo,99.91361195405497,99.91361195405497
113,Kossuth,0.0874358287886924,0.0874358287886924
114,Poweshiek,2728.5281998214427,2728.5281998214427
115,Tama,71098.71429746467,71098.71429746467
116,Woodbury,1017534.3411783784,1017534.3411783784
117,Muskogee,437.7052040390132,437.7052040390132
118,Colleton,510.1810497157729,510.1810497157729
119,Wapello,5075.483609088701,5075.483609088701
120,Walsh,13.367292700769733,13.367292700769733
121,Georgetown,1269.1813152599418,1269.1813152599418
122,Codington,102.04110963756314,102.04110963756314
123,Lyman,0.7419512610006034,0.7419512610006034
124,Conway,73.28213265988109,73.28213265988109
125,Cross,198.73948989033926,198.73948989033926
126,Hot Spring,137.69782883265026,137.69782883265026
127,Woodruff,0.005190128999101308,0.005190128999101308
128,Saunders,41.425217021387375,41.425217021387375
129,Mayes,296.8706653743089,296.8706653743089
130,Wagoner,11832.986882102312,11832.986882102312
131,Brookings,75.81222005652657,75.81222005652657
132,Sweetwater,160.2688720573995,160.2688720573995
133,Drew,112.70835804178475,112.70835804178475
134,Foster,0.005188358059325865,0.005188358059325865
135,Creek,4786.878185453774,4786.878185453774
136,Williamsburg,5088.660209409162,5088.660209409162
137,Chicot,32.489806497442466,32.489806497442466
138,Lonoke,1164.3790734166537,1164.3790734166537
139,Appanoose,0.5053605092031641,0.5053605092031641
140,Des Moines,170.788544339585,170.788544339585
141,Mahaska,81.84203808980035,81.84203808980035
142,Monona,24.26459599327693,24.26459599327693
143,Kearney,2.9322833086593265,2.9322833086593265
144,Okmulgee,140.0772245320863,140.0772245320863
145,Sequoyah,66.6198422942972,66.6198422942972
146,Hot Springs,3.798027872866939,3.798027872866939
147,Baxter,6.94879379728521,6.94879379728521
148,Latimer,6.849921295030782,6.849921295030782
149,Pittsburg,660.0720541992179,660.0720541992179
150,Aurora,0.12222823951414732,0.12222823951414732
151,Faulk,0.00518693225754205,0.00518693225754205
152,Uintah,10.673953352438744,10.673953352438744
153,Goshen,3.3309862925460982,3.3309862925460982
154,Washakie,18.26058196897964,18.26058196897964
155,Keokuk,1.103527812990074,1.103527812990074
156,Gosper,37.93298673033886,37.93298673033886
157,Barnes,3.8042717838784172,3.8042717838784172
158,Divide,0.005186854597172237,0.005186854597172237
159,Mountrail,802.0801117459753,802.0801117459753
160,Le Flore,56.383547157304314,56.383547157304314
161,Nowata,242.66541408912525,242.66541408912525
162,Hamlin,0.2739522588656541,0.2739522588656541
163,Yankton,438.9564372119179,438.9564372119179
164,Converse,258.9559626512858,258.9559626512858
165,Sublette,1.5121031688474553,1.5121031688474553
166,Arkansas,0.5218053470179065,0.5218053470179065
167,Ashley,107.48586327909092,107.48586327909092
168,Hempstead,10.542227013711441,10.542227013711441
169,Scotts Bluff,568.9751526001791,568.9751526001791
170,Rogers,2543.585424475431,2543.585424475431
171,Fall River,0.06752576126385866,0.06752576126385866
172,St. Francis,6776.162221263263,6776.162221263263
173,Audubon,2.7260515498845797,2.7260515498845797
174,Guthrie,187.01439430338314,187.01439430338314
175,Antelope,0.9223946147559314,0.9223946147559314
176,Grand Forks,55811.24003102897,55811.24003102897
177,Oliver,0.005186060426657323,0.005186060426657323
178,Beckham,6.6866480969409725,6.6866480969409725
179,Cotton,7.191261812253598,7.191261812253598
180,Love,0.24837806398523582,0.24837806398523582
181,Barnwell,248.93566082128874,248.93566082128874
182,Kimball,44.04264157749499,44.04264157749499
183,McKenzie,77.74160949706588,77.74160949706588
184,Bamberg,44.67628832222757,44.67628832222757
185,Cuming,11.05990257360929,11.05990257360929
186,Greer,3140.641752966404,3140.641752966404
187,Allendale,56.85162286087795,56.85162286087795
188,Sharp,14.606512868686135,14.606512868686135
189,Bremer,1750.4321334620304,1750.4321334620304
190,O'Brien,19.473921491601835,19.473921491601835
191,Gage,845.3901037631579,845.3901037631579
192,Otoe,0.5023478641322006,0.5023478641322006
193,Atoka,0.047203458511258276,0.047203458511258276
194,Kingfisher,21.81156646676581,21.81156646676581
195,Woodward,0.005191385522510316,0.005191385522510316
196,Hampton,347.422401623935,347.422401623935
197,McCormick,12.63715248077898,12.63715248077898
198,Spink,1.2420046861425136,1.2420046861425136
199,Uinta,21.42758394303806,21.42758394303806
200,Merrick,94.00440643582006,94.00440643582006
201,Slope,1.4955969936041373,1.4955969936041373
202,Major,0.5715310614186502,0.5715310614186502
203,McCurtain,25.019450114267528,25.019450114267528
204,Duchesne,11.174776484370321,11.174776484370321
205,Emery,4.854336613100516,4.854336613100516
206,Juab,17.109641661814482,17.109641661814482
207,Millard,6.489023566574154,6.489023566574154
208,Cherry,0.0051899262394855825,0.0051899262394855825
209,Tillman,28.60273387067361,28.60273387067361
210,Yell,2.8834193851640992,2.8834193851640992
211,Emmons,0.005188392478408829,0.005188392478408829
212,Izard,12.235064169648549,12.235064169648549
213,Buena Vista,20.85140461159437,20.85140461159437
214,Bowman,0.0051881367287937045,0.0051881367287937045
215,Stutsman,18.740211899861237,18.740211899861237
216,Oglala Lakota,0.3277570952120888,0.3277570952120888
217,Burt,1.2981062503101974,1.2981062503101974
218,Corson,0.10924655186579643,0.10924655186579643
219,Jerauld,11.973051732315273,11.973051732315273
220,Sargent,0.3074761167704679,0.3074761167704679
221,Okfuskee,0.08509628019984182,0.08509628019984182
222,Miner,0.005186744103575856,0.005186744103575856
223,Niobrara,0.2736765516211776,0.2736765516211776
224,Box Butte,0.005190885656943517,0.005190885656943517
225,Rolette,0.32272470853016233,0.32272470853016233
226,Sanborn,1.5076965828216058,1.5076965828216058
227,Sully,0.005183653678405172,0.005183653678405172
228,Alfalfa,0.005189930869478317,0.005189930869478317
229,Morrill,2.019626597347464,2.019626597347464
230,Nance,0.5206474486493995,0.5206474486493995
231,Moody,5.21920871951138,5.21920871951138
232,Red Willow,0.8318795132709506,0.8318795132709506
233,Woods,1.511939636037315,1.511939636037315
234,Furnas,1.2506751485604428,1.2506751485604428
235,Sanpete,6.938363544832702,6.938363544832702
236,Dixon,36.0982845371555,36.0982845371555
237,Cimarron,0.0051865514455058815,0.0051865514455058815
238,Stanley,13.155315197160295,13.155315197160295
